"Bureau of Justice Statistics",,,,,,,,,,
"Filename:  p9914.csv",,,,,,,,,,
"Table #:14.  Number of sentenced prisoners under State or Federal jurisdiction, ",,,,,,,,,,
"per 100,000 residents, by gender, race, Hispanic origin, and age, 1999",,,,,,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,
"Contact:  Allen Beck",,,,,,,,,,
"Date of version:  8/3/00",,,,,,,,,,
,,,,,,,,,,
"Table 14.  Number of sentenced prisoners under State or Federal jurisdiction",,,,,,,,,,
"per 100,000 residents, by gender, race, Hispanic origin, and age, 1999",,,,,,,,,,
,,,,,,,,,,
,,,"Number of sentenced prisoners per 100,000 residents in each group",,,,,,,
,,,"Males",,,,,"Females",,
"Age",,"Total/a","White/b","Black/b","Hispanic",,"Total/a","White/b","Black/b","Hispanic"
,,,,,,,,,,
"Total",,901,417,3408,1335,,59,27,212,87
"18-19",,788,280,2627,1197,,29,18,85,29
"20-24",,2075,832,7326,2824,,84,44,227,127
"25-29",,2436,990,9392,3126,,153,66,492,215
"30-34",,2303,1106,8406,2927,,205,96,731,248
"35-39",,1843,896,7316,2315,,158,74,587,214
"40-44",,1318,652,4947,2266,,89,39,347,131
"45-54",,722,411,2761,1265,,45,22,153,97
"55 or older",,163,106,534,403,,6,4,21,11
,,,,,,,,,,
"Note: Based on estimates of the U.S. resident ",,,,,,,,,,
"population on July 1, 1999, and adjusted for the ",,,,,,,,,,
"1990 census undercount.",,,,,,,,,,
"a/Includes American Indians, Alaska Natives",,,,,,,,,,
"Asians, Native Hawaiians, and other Pacific Islanders.",,,,,,,,,,
"b/Excludes Hispanics.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Resident U.S. population, July 1, 1999 (adjusted for Census undercount)",,,,,,,,,,
,,,,,,,,,,
,,,"Males",,,,,"Females",,
,,"Total","White","Black","Hispanic",,"Total","White","Black","Hispanic"
"Total",,135750473,96843271,16394874,16440389,,141174245,100532934,18082765,16104101
,,,,,,,,,,
"18-19",,4205977,2761060,609478,634905,,3995826,2620343,612215,574711
"20-24",,9539098,6253650,1308428,1497408,,9159848,5962667,1370419,1368111
"25-29",,9420528,6254335,1233924,1411385,,9472684,6220597,1379316,1319338
"30-34",,10044740,6834378,1268096,1448043,,10088981,6804963,1389471,1326999
"35-39",,11412574,8162573,1356813,1382775,,11427098,8080403,1500954,1286726
"40-44",,11178364,8293799,1273661,1134021,,11302478,8247253,1429716,1093957
"45-54",,17566019,13655194,1735764,1459973,,18295317,13890360,2075719,1516044
"55 or older",,25346666,20906335,2063086,1578363,,32149151,26223245,2945226,1997237
