"Bureau of Justice Statistics",,,,,,,,,,,,,
"Filename:  p9919.csv",,,,,,,,,,,,,
"Table #:19.  Number of sentenced inmates admitted to State prison, ",,,,,,,,,,,,,
"by type of admission and offense, 1990, 1995, and 1998",,,,,,,,,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,
"Contact:  Allen Beck",,,,,,,,,,,,,
"Date of version:  8/3/00",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 19.  Number of sentenced inmates admitted to State prison, ",,,,,,,,,,,,,
"by type of admission and offense, 1990, 1995, and 1998",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,"Percent",,,,,,"Percent",
,,"New court commitments",,,,"change",,"Parole violators",,,,"change",
,,1990,1995,1998,,"1990-98",,1990,1995,1998,,"1990-98",
,,,,,,,,,,,,,
"   Total",,323069,337492,347270,,7.5,"%",133870,175726,206751,,54.4,"%"
"Violent",,86600,97200,104200,,20.3,,33200,42800,50000,,50.6,
"Property",,104400,99400,96900,,-7.2,,61700,65100,69300,,12.3,
"Drugs",,102400,104100,107000,,4.5,,30900,53900,68600,,122.0,
"Public order",,26000,34500,37500,,44.2,,7800,13600,17400,,123.1,
,,,,,,,,,,,,,
"Note:  Based on the total number admissions by ",,,,,,,,,,,,,
"type (from NPS1-A) and multiplied by the proportion ",,,,,,,,,,,,,
"of admissions by most serious offenses (from NCRP) ",,,,,,,,,,,,,
"and then rounded to the nearest 100.",,,,,,,,,,,,,
