Bureau of Justice Statistics,,,,,,,,,
Filename: p0301,,,,,,,,,
"Table 1: Number of persons held in State or Federal prisons or in local jails, 1995-2003",,,,,,,,,
Report title:  Prisoners in 2003 NCJ 205335,,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,,
Date of version:  11/07/04,,,,,,,,,

"Table 1.  Number of persons held in State or Federal prisons or in local jails, 1995-2003",,,,,,,,,



,,,      Prisoners in custody,,,,,,
Year,Total inmates in custody/a,,Federal,,State,,Inmates held in local jails,,Incaceration rate/b

1995,"1,585,586",,"89,538",,"989,004",,"507,044",,601
2000,"1,937,482",,"133,921",,"1,176,269",,"621,149",,684
2001,"1,961,247",,"143,337",,"1,180,155",,"631,240",,685
2002,"2,033,022",,"151,618",,"1,209,331",,"665,475",,701
2003,"2,085,620",,"161,673",,"1,226,175",,"691,301",,714

"Percent change,",,,,,,,,,
12/31/02-12/31/03,2.6,%,6.6,%,1.4,%,3.9,%,

Annual average,,,,,,,,,
"increase, ",,,,,,,,,
12/31/95 - 12/31/03,3.5,%,7.7,%,2.7,%,4,%,

Note: Counts include all inmates held in public and private adult correctional facilities. ,,,,,,,,,
"a/Total counts include Federal inmates in non-secure privately operated facilities (6,471 in 2003, 6,598 in 2002, 6,515 in 2001, and 6,143 in 2000). ",,,,,,,,,
"b/Number of prison and jail inmates per 100,000 residents at yearend. ",,,,,,,,,
