"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0208.csv",,,,,,,,,
"Table 8:  Reported Federal and State prison capacities, yearend 2002",,,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,,
"Date of version:  07/27/03",,,,,,,,,
,,,,,,,,,
"Table 8.  Reported Federal and State prison capacities, yearend 2002",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"      Type of capacity measure",,,"Custody population as percent of -- ",,,,,
"Region and jurisdiction     ","Rated    ","Operational    ","Design          ","Highest capacity/a       ",,"Lowest capacity/a           ","     ","Highest capacity","Lowest capacity"
,,,,,,,,,
"Federal",103897," ... "," ... ",133,"%",133,"%",103897,103897
,,,,,,,,,
"Northeast",,,,,,,,1161262,1005466
"Connecticut/b"," ... "," ... "," ... "," ... ","%"," ... ","%",18716,18716
"Maine",1779,1779,1779,104,,104,,1779,1779
"Massachusetts"," ... "," ... ",7721,128,,128,,7721,7721
"New Hampshire",2419,2238,2213,102,,112,,2419,2213
"New Jersey"," ... "," ... ",17122,138,,138,,17122,17122
"New York",61265,63531,54210,105,,123,,63531,54210
"Pennsylvania",34583,34583,27113,113,,145,,34583,27113
"Rhode Island",3907,3907,4061,86,,89,,4061,3907
"Vermont",1286,1286,1226,106,,111,,1286,1226
,,,,,,,,,
"Midwest",,,,,,,,,
"Illinois",31351,31351,27256,136,"%",157,"%",31351,27256
"Indiana",15859,21039," ... ",93,,123,,21039,15859
"Iowa",6772,6772,6772,124,,124,,6772,6772
"Kansas",9114," ... "," ... ",98,,98,,9114,9114
"Michigan"," ... ",51429," ... ",97,,97,,51429,51429
"Minnesota",7064,7064,7064,97,,97,,7064,7064
"Missouri"," ... ",30580," ... ",97,,97,,30580,30580
"Nebraska"," ... ",3924,3139,103,,129,,3924,3139
"North Dakota",1005,952,1005,109,,115,,1005,952
"Ohio",36270," ... "," ... ",120,,120,,36270,36270
"South Dakota"," ... ",2827," ... ",102,,102,,2827,2827
"Wisconsin/c"," ... ",15559," ... ",117,,117,,15559,15559
,,,,,,,,,
"South",,,,,,,,,
"Alabama"," ... "," ... ",12459,201,"%",201,"%",24664,12459
"Arkansas/c",11972,12189,11299,95,,103,,12189,11299
"Delaware"," ... ",4206,3192,164,,216,,4206,3192
"Florida"," ... ",78805,58396,95,,129,,78805,58396
"Georgia"," ... ",47706," ... ",99,,99,,47706,47706
"Kentucky"," ... ",12162," ... ",87,,87,,12162,12162
"Louisiana",19688,20010," ... ",98,,100,,20010,19688
"Maryland"," ... ",24263," ... ",99,,99,,24263,24263
"Mississippi/c"," ... ",21011," ... ",73,,73,,21011,21011
"North Carolina"," ... ",28284," ... ",117,,117,,28284,28284
"Oklahoma/c"," ... ",23566," ... ",93,,93,,23566,23566
"South Carolina"," ... ",22600,22955,100,,101,,22955,22600
"Tennessee/c",19138,18691," ... ",74,,75,,19138,18691
"Texas/c,d",159667,154999,159667,85,,88,,159667,154999
"Virginia",30925," ... "," ... ",95,,95,,30925,30925
"West Virginia"," ... ",3539,3189,101,,112,,3539,3189
,,,,,,,,,
"West",,,,,,,,,
"Alaska",3098,3206," ... ",93,"%",97,"%",3098,3206
"Arizona",26228,29406,25346,100,,116,,29406,25346
"California"," ... ",155087,80587,103,,198,,155087,80587
"Colorado"," ... ",13925,12593,116,,129,,13925,12593
"Hawaii"," ... ",3487,2451,107,,152,,3487,2451
"Idaho",5871,5544,4564,71,,92,,5871,4564
"Montana"," ... ",2460," ... ",78,,78,,2460,2460
"Nevada/c",10532," ... ",8315,96,,121,,10532,8315
"New Mexico/c",6245,6239,5985,94,,98,,6245,5985
"Oregon"," ... ",11556,11556,101,,101,,11556,11556
"Utah"," ... ",4196,4419,97,,102,,4419,4196
"Washington",9898,12793,12793,127,,164,,12793,9898
"Wyoming                                                                                ",1111,1051,1141,98,,106,,1141,1051
"             ","                ","         ","            ","             ","        ","            ","       ",,
" ... Data not available.",,,,,,,,,
"a/Population counts are based on the number of inmates held in facilities operated by the jurisdiction. Excludes inmates held in local jails, in other States, or in private facilities. ",,,,,,,,,
"b/Connecticut no longer reports capacity because of a law passed in 1995.",,,,,,,,,
"c/Includes capacity of private and contract facilities and inmates housed in them. ",,,,,,,,,
"d/Excludes capacity of county facilities and inmates housed in them. ",,,,,,,,,
