"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0217.csv",,,,,,,,,
"Table 17:  Partitioning by gender and offense, the growth of the sentenced prison population under State jurisdiction, 1995-2001",,,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,,
"Date of version:  07/27/03",,,,,,,,,
,,,,,,,,,
"Table 17:  Partitioning by rce, Hispanic origin, and offense, the growth of the sentenced prison population under State jurisdiction, 1995-2001",,,,,,,,,
,,,,,,,,,
,"White",,,"Black",,,"Hispanic",,
,"Increase 1995-2001","Percent of total",,"Increase 1995-2001","Percent of total",,"Increase 1995-2001","Percent of total",
"Total",90700,100,"%",83200,100,"%",35300,100,"%"
"Violent",53100,58.8,,47300,57.1,,29900,81.5,
"Property",3000,3.3,,0," -- ",,-100," -- ",
"Drug ",16200,17.9,,18900,22.8,,-1400," -- ",
"Public-order ",18000,19.9,,16700,20.1,,6800,18.5,
