Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112at05.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 5. Sentenced state and federal prisoners released, by age, sex, race, and Hispanic origin, 2012",,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, Federal Justice Statistics Program, National Corrections Reporting Program, Survey of Inmates in State Correctional Facilities",,,,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 5. Sentenced state and federal prisoners released, by age, sex, race, and Hispanic origin, 2012",,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,,,Female,,,,,,,,,
Age group,,Total/a,,"All male/a,b",,White/c,,Black/c,,Hispanic,,"Other/b,c",,,"All female/a,b",,White/c,,Black/c,,Hispanic,,"Other/b,c",
,Total/d,100,%,100,%,100,%,100,%,100,%,100,%,,100,%,100,%,100,%,100,%,100,%
18–19,,1.3,%,1.2,%,0.8,%,1.6,%,1.3,%,1.1,%,,2.1,%,0.4,%,0.7,%,10.3,%,0.5,%
20–24,,14,,14.2,,12,,15.1,,15.5,,14.4,,,12.6,,10.9,,10.7,,20.6,,12.1,
25–29,,19,,19,,17.5,,18.5,,21.4,,20.6,,,19.1,,19.5,,16.7,,20.2,,20.7,
30–34,,17.6,,17.5,,16.6,,17,,19.3,,18,,,18.2,,18.8,,17.4,,15.7,,20.3,
35–39,,13.3,,13.2,,12.8,,12.3,,14.5,,14.6,,,14.5,,14.9,,14.3,,13.6,,14.4,
40–44,,12,,11.8,,13,,11.4,,11,,11.2,,,13.1,,13.9,,14.1,,9.6,,12.8,
45–49,,10.3,,10.2,,11.6,,10.5,,8.1,,9.3,,,10.7,,11.4,,13.6,,5.7,,9.3,
50–54,,6.9,,7,,8.2,,7.4,,4.9,,6.1,,,6,,6.2,,8.2,,2.2,,5.6,
55–59,,3.2,,3.3,,3.8,,3.7,,2.2,,2.5,,,2.2,,2.3,,2.7,,0.8,,2.4,
60–64,,1.4,,1.5,,1.8,,1.5,,1,,1.2,,,0.9,,1,,1,,0.4,,0.8,
65 or older,,0.9,,1,,1.5,,0.7,,0.7,,0.8,,,0.4,,0.5,,0.4,,0.1,,0.3,
,Number of released prisoners,"637,411",,"568,556",,"181,841",,"208,415",,"130,107",,"48,193",,,"68,855",,"33,758",,"15,934",,"11,038",,"8,125",
"Note: Counts based on prisoners admitted to serve a sentence of more than 1 year under the jurisdiction of state or federal correctional officials. Excludes transfers, escapes, and those absent without leave (AWOL). Totals for all admissions include other conditional release violators, returns from appeal or bond, and other admissions. Missing data were imputed for Illinois and Nevada. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,
"a/Detail may not sum to total due to rounding, inmates age 17 or younger, and missing race/Hispanic origin data.",,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races.",,,,,,,,,,,,,,,,,,,,,,,,
c/Excludes persons of Hispanic or Latino orgin.,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes persons age 17 or younger.,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program, 2012; Federal Justice Statistics Program, 2011–2012; National Corrections Reporting Program, 2011; and Survey of Inmates in State and Local Correctional Facilities, 2004.",,,,,,,,,,,,,,,,,,,,,,,,
