Bureau of Justice Statistics,,,,,,
Filename: p09at22.csv,,,,,,
"Appendix table 22: Number of state and federal prisoners in local jail facilities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
"Date of version: October 25, 2011",,,,,,
 ,,,,,,
"Appendix table 22. Number of state and federal prisoners in local jail facilities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,
,,Number of prisoners in local jail facilities,,,,
Region and jurisdiction,,12/31/2000,12/31/2008,12/31/2009,"Percent of all prisoners, 12/31/2009",
U.S. total,,"63,140","83,497","86,653",5.4,%
,Federal,"2,438","2,738","2,896",1.4,
,State,"60,702","80,759","83,757",6,
Northeast,,"3,823","1,454","2,139",1.2,%
,Connecticut/a,0,0,0,0,
,Maine,24,90,123,5.6,
,Massachusetts,457,185,132,1.2,
,New Hampshire,14,46,47,1.7,
,New Jersey,"3,225","1,122","1,274",5,
,New York,45,11,38,0.1,
,Pennsylvania,58,0,525,1,
,Rhode Island/a,0,0,0,0,
,Vermont/a,0,0,0,0,
Midwest,,"2,103","4,034","3,577",1.4,%
,Illinois,0,0,0,0,
,Indiana,"1,187","1,930","2,060",7.2,
,Iowa,0,0,0,0,
,Kansas,0,0,0,0,
,Michigan,286,28,52,0.1,
,Minnesota,149,"1,004",662,6.6,
,Missouri,0,0,0,0,
,Nebraska,0,0,0,0,
,North Dakota,38,71,47,3.2,
,Ohio,0,0,0,0,
,South Dakota,16,58,64,1.9,
,Wisconsin,427,943,692,3,
South,,"49,455","69,445","72,712",11.2,%
,Alabama,"3,401","1,790","2,260",7.1,
,Arkansas,728,"1,541","1,778",11.7,
,Delaware/a,0,0,0,0,
,District of Columbia/b,"1,329",~,~,:,
,Florida/c,0,"1,144","1,298",1.2,
,Georgia,"3,888","4,690","4,853",9.1,
,Kentucky,"3,850","7,363","7,639",35.3,
,Louisiana,"15,599","17,524","19,891",50,
,Maryland,118,141,111,0.5,
,Mississippi,"3,700","4,858","4,270",19.9,
,North Carolina,0,0,0,0,
,Oklahoma,970,"2,148","2,238",8.5,
,South Carolina,433,361,379,1.6,
,Tennessee,"5,204","7,860","7,047",26.1,
,Texas,"6,477","12,805","12,270",7.2,
,Virginia,"2,962","6,057","7,373",19.4,
,West Virginia,796,"1,163","1,305",20.5,
West,,"5,321","5,826","5,329",1.7,
,Alaska/a,0,0,0,0,%
,Arizona,237,47,0,0,
,California,"2,758","2,736","2,611",1.5,
,Colorado,"2,178",63,70,0.3,
,Hawaii/a,0,0,0,0,
,Idaho,450,365,312,4.2,
,Montana,548,579,493,13.7,
,Nevada,175,199,93,0.7,
,New Mexico,0,0,0,0,
,Oregon,7,20,14,0.1,
,Utah,"1,050","1,341","1,223",18.7,
,Washington,0,430,463,2.5,
,Wyoming,17,46,50,2.4,
~Not applicable.,,,,,,
:Not calculated.,,,,,,
a/Prisons and jails form one integrated system. ,,,,,,
"b/As of December 31, 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,
"c/Not comparable to previous years. As of 2009, the count includes all prisoners out to court.",,,,,,
