Bureau of Justice Statistics,,,,,
Filename: p06t09,,,,,
Table 9: Incarceration rates for prisoners under State or Federal jurisdiction sentenced to more than 1 year,,,,,
Report title: Prisoners in 2006 NCJ 219416,,,,,
"Data source: National Prisoner Statistics, 1B",,,,,
"Author(s): William J. Sabol, Heather Couture, and Paige M. Harrison",,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 12/5/07,,,,,

Table 9. Incarceration rates for prisoners under State or Federal jurisdiction sentenced to more than 1 year,,,,,
,,,"Incarceration rate per 100,000 U.S. residents",,
"Gender, race, Hispanic origin",,,2000,2005,2006
,,Total,473,491,501
Male,,,904,929,943
,White*,,410,471,487
,Black or African-American*,,"3,188","3,145","3,042"
,Hispanic or Latino,,"1,419","1,224","1,261"
Female,,,59,65,68
,White*,,33,45,48
,Black or African-American*,,175,156,148
,Hispanic or Latino,,78,76,81
Note: See Appendix table 8.,,,,,
*Excludes Hispanic of Latino persons.,,,,,
