Bureau of Justice Statistics,,,,,,,,,
Filename: p17t20.csv,,,,,,,,,
"Table 20. Prisoners under jurisdiction or in custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2017",,,,,,,,,
Report title: Prisoners in 2017  NCJ 252156,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2017.",,,,,,,,,
"Authors: Jennifer Bronson, Ph.D., and E. Ann Carson, Ph.D., BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 4/25/2019,,,,,,,,,
,,,,,,,,,
"Table 20. Prisoners under jurisdiction or in custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2017",,,,,,,,,
,,Jurisdiction population,,,,,Capacity,,
Jurisdiction,,Total/a,Sentenced to more than 1 year/a,,Total custody population,,Rated,Operational,Design
,Total,"9,488","8,614",,"10,960",,/,/,/
American Samoa/b,,/,/,,185,,/,/,/
Guam,,682,366,,628,,753,18,260
Commonwealth of the Northern Mariana Islands/c,,262,169,,262,,559,272,559
Commonwealth of Puerto Rico,,"7,875","7,701",,"9,493",,"14,364","14,632","14,632"
U.S. Virgin Islands/d,,669,378,,577,,468,355,550
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Custody refers to the physical location where the prisoner is held. Rated capacity is the number of inmates or beds a facility can hold set by a rating official; operational capacity is the number of inmates a facility can hold based on staffing and services; and design capacity is the number of inmates a facility can hold set by the architect or planner.",,,,,,,,,
/Not reported.,,,,,,,,,
a/Excludes American Samoa.,,,,,,,,,
b/American Samoa has not submitted National Prisoner Statistics (NPS) data since 2011. Custody data were located in the American Samoa Statistical Yearbook 2016 (http://doc.as.gov/wp-content/uploads/2011/06/American-Samoa-Statistical-Yearbook-2016.pdf) and represent the number of persons in custody as of December 2016.,,,,,,,,,
c/The Commonwealth of the Northern Mariana Islands did not submit 2017 NPS data. Data used had been reported in 2016.,,,,,,,,,
d/The U.S. Virgin Islands did not submit NPS data from 2014 to 2017 and had inconsistent 2013 data. Data are from 2012.,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2017.",,,,,,,,,
