Bureau of Justice Statistics,
Filename: p0409,
"Table 9: State prison population as a percent of capacity, 1995-2004",
Report title:  Prisoners in 2004 NCJ 210677,
"Data source:  National Prisoner Statistics, 1B",
Authors:  Paige M. Harrison and Allen J. Beck,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,
Date of version:  10/18/05,

"Table 9. State prison population as a percent of capacity, 1995-2004",

,State prisons
Highest capacity,"1,192,870"
Lowest capacity,"1,033,408"

Population as a percent of capacity*,
Highest,
1995,114
2000,100
2001,101
2002,101
2003,100
2004,99

Lowest,
1995,125
2000,115
2001,116
2002,117
2003,116
2004,115

*Excludes prisoners held in local jails and in privately operated facilities (unless included in the reported capacity). 
