Bureau of Justice Statistics,,,,,
Filename: p04t06,,,,,
"Text table 6: Detainees under the jurisdiction of the Bureau of Immigration and Customs Enforcement (ICE), by type of facility, yearend, 1995, 2003, and 2004",,,,,
Report title:  Prisoners in 2004 NCJ 210677,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,
Date of version:  10/18/05,,,,,
,Number of detainees,,,,
Facility type,2004,2003,1995,"Percent change, 2003-04",
Total,"19,057","23,514","8,177",-19.0,%
ICE-operated facilities,"4,545","5,109","3,776",11.0,
Private facilities under exclusive contract to ICE,"1,678","1,935",652,-13.3,
Federal Bureau of Prisons,"1,214","1,338","1,282",-9.3,
Other Federal facilities,50,88,181,-43.2,
,,,,,
Intergovernmental agreements,"11,570","15,044","2,286",-23.1,%
State prisons,178,477,8,-62.7,
Local jails,"7,877","11,376","1,984",-30.8,
Other facilities,"3,515","3,191",294,10.2,
