Bureau of Justice Statistics,,,,,,,,
Filename: p10at24.csv,,,,,,,,
"Appendix Table 24. Reported number of inmates under age 18 held in custody in state and federal prisons, by sex, region, and jurisdiction, June 30, 2009 and 2010",,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 12/13/2011,,,,,,,,
,,,,,,,,
"Appendix Table 24. Reported number of inmates under age 18 held in custody in state and federal prisons, by sex, region, and jurisdiction, June 30, 2009 and 2010",,,,,,,,
,,2009,,,,2010,,
Region and jurisdiction,,Total,Male,Female,,Total,Male,Female
U.S. Total,,2779,2645,134,,2295,2217,78
,Federal/a,~,~,~,,~,~,~
,State,2779,2645,134,,2295,2217,78
Northeast,,617,584,33,,521,507,14
,Connecticut/b,332,310,22,,217,211,6
,Maine,0,0,0,,0,0,0
,Massachusetts,8,5,3,,3,1,2
,New Hampshire,0,0,0,,0,0,0
,New Jersey/c,21,21,0,,18,18,0
,New York,190,184,6,,221,217,4
,Pennsylvania,61,59,2,,58,56,2
,Rhode Island/b,1,1,0,,1,1,0
,Vermont/b,4,4,0,,3,3,0
Midwest,,499,488,11,,440,427,13
,Illinois,106,105,1,,73,72,1
,Indiana,54,54,0,,49,48,1
,Iowa,13,13,0,,13,13,0
,Kansas,5,5,0,,10,9,1
,Michigan,132,129,3,,109,106,3
,Minnesota,13,11,2,,32,29,3
,Missouri,31,30,1,,22,21,1
,Nebraska,21,19,2,,23,23,0
,North Dakota,0,0,0,,0,0,0
,Ohio,86,84,2,,78,76,2
,South Dakota/c,1,1,0,,1,1,0
,Wisconsin,37,37,0,,30,29,1
South,,1273,1234,39,,1107,1067,40
,Alabama,118,114,4,,29,29,0
,Arkansas,17,17,0,,9,8,1
,Delaware/b,28,28,0,,17,17,0
,Florida,393,384,9,,355,341,14
,Georgia,99,94,5,,96,94,2
,Kentucky,0,0,0,,0,0,0
,Louisiana/c,15,14,1,,22,22,0
,Maryland,58,57,1,,57,54,3
,Mississippi,28,27,1,,25,24,1
,North Carolina/c,215,206,9,,184,177,7
,Oklahoma,19,17,2,,17,16,1
,South Carolina,89,88,1,,106,102,4
,Tennessee,22,20,2,,29,28,1
,Texas,156,152,4,,150,144,6
,Virginia,16,16,0,,11,11,0
,West Virginia,0,0,0,,0,0,0
West,,390,339,51,,227,216,11
,Alaska/b,7,7,0,,7,7,0
,Arizona,157,149,8,,131,123,8
,California/c,0,0,0,,0,0,0
,Colorado,79,43,36,,38,38,0
,Hawaii/b,2,2,0,,0,0,0
,Idaho,0,0,0,,1,1,0
,Montana,2,2,0,,0,0,0
,Nevada,118,115,3,,34,33,1
,New Mexico,3,3,0,,2,2,0
,Oregon,13,9,4,,8,6,2
,Utah,6,6,0,,3,3,0
,Washington/c,2,2,0,,1,1,0
,Wyoming,1,1,0,,2,2,0
~Not applicable. ,,,,,,,,
a/The Federal Bureau of Prisons does not house inmates under age 18 in its custody; 142 such inmates were housed in contract facilities.  ,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,
c/Counts include those held in privately-operated facilities.,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,
