Bureau of Justice Statistics,,,,,,,,,,
Filename: p0306,,,,,,,,,,
"Table 6:  Women under the jurisdiction of State or Federal correctional authorities, yearend 1995, 2002, and 2003",,,,,,,,,,
Report title:  Prisoners in 2003 NCJ 205335,,,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,,,
Date of version:  11/07/04,,,,,,,,,,

"Table 6. Women under the jurisdiction of State or Federal correctional authorities, yearend 1995, 2002, and 2003",,,,,,,,,,

,Number of female inmates,,,,    Percent change          ,,,,,
Region and jurisdiction,2003,2002,1995,     ,2002 to 2003,     ,Average 1995 to 2003/a     ,,"Incarceration rate, 2003/b       ",            

U.S. Total,"101,179","97,631","68,468",,3.6,%,5,%,62,

Federal,"11,635","11,234","7,398",,3.6,%,5.8,%,7
State,"89,544","86,397","61,070",,3.6,,4.9,,56

Northeast,"9,108","9,381","8,401",,-2.9,%,1,%,28
Connecticut,"1,548","1,694",975,,-8.6,,5.9,,46
Maine,124,90,36,,37.8,,16.7,,18
Massachusetts/c,708,704,656,,0.6,,1,,12
New Hampshire,117,144,109,,-18.8,,0.9,,18
New Jersey,"1,517","1,586","1,307",,-4.4,,1.9,,34
New York,"2,914","2,996","3,615",,-2.7,,-2.7,,29
Pennsylvania,"1,823","1,821","1,502",,0.1,,2.5,,29
Rhode Island,222,214,157,,3.7,,4.4,,10
Vermont,135,132,44,,2.3,,15,,27

Midwest,"15,682","15,306","10,864",,2.5,%,4.7,%,47
Illinois,"2,700","2,520","2,196",,7.1,,2.6,,42
Indiana/c,"1,758","1,583",892,,11.1,,8.9,,56
Iowa,716,703,425,,1.8,,6.7,,48
Kansas,629,537,449,,17.1,,4.3,,46
Michigan/c,"2,198","2,267","1,842",,-3,,2.2,,43
Minnesota,435,455,217,,-4.4,,9.1,,17
Missouri,"2,239","2,274","1,174",,-1.5,,8.4,,76
Nebraska,323,352,211,,-8.2,,5.5,,35
North Dakota,113,103,29,,9.7,,18.5,,34
Ohio,"2,897","2,929","2,793",,-1.1,,0.5,,49
South Dakota,269,227,134,,18.5,,9.1,,69
Wisconsin,"1,405","1,356",502,,3.6,,13.7,,47

South,"43,389","41,801","27,366",,3.8,%,5.9,%,74
Alabama,"2,003","1,697","1,295",,18,,5.6,,82
Arkansas,887,854,523,,3.9,,6.8,,63
Delaware,508,542,358,,-6.3,,4.5,,53
Florida/c,"5,068","4,595","3,660",,10.3,,4.2,,58
Georgia,"3,145","3,129","2,036",,0.5,,5.6,,71
Kentucky,"1,411","1,269",734,,11.2,,8.5,,63
Louisiana,"2,405","2,398","1,424",,0.3,,6.8,,104
Maryland,"1,248","1,264","1,079",,-1.3,,1.8,,42
Mississippi,"2,163","2,082",791,,3.9,,13.4,,134
North Carolina/c,"2,256","2,173","1,752",,3.8,,3.2,,37
Oklahoma,"2,320","2,338","1,815",,-0.8,,3.1,,127
South Carolina,"1,576","1,671","1,045",,-5.7,,5.3,,68
Tennessee/c,"1,826","1,735",637,,5.2,,14.1,,61
Texas,"13,487","13,051","7,935",,3.3,,6.9,,98
Virginia,"2,681","2,641","1,659",,1.5,,6.2,,71
West Virginia,405,362,129,,11.9,,15.4,,42

West,"21,365","19,909","14,439",,7.3,%,5,%,61
Alaska,392,349,243,,12.3,,6.2,,55
Arizona,"2,656","2,428","1,432",,9.4,,8,,85
California/c,"10,656","9,987","9,082",,6.7,,2,,57
Colorado,"1,736","1,566",713,,10.9,,11.8,,77
Hawaii,685,669,312,,2.4,,10.3,,68
Idaho,592,592,212,,0,,13.7,,86
Montana,419,345,112,,21.4,,17.9,,91
Nevada,880,851,530,,3.4,,6.5,,79
New Mexico,576,518,278,,11.2,,9.5,,56
Oregon,883,812,465,,8.7,,8.3,,49
Utah,427,371,161,,15.1,,13,,35
Washington,"1,288","1,254",793,,2.7,,6.3,,41
Wyoming/c,175,167,106,,4.8,,6.5,,70

a/The average annual percent increase from 1995 to 2003.,,,,,,,,,
"b/The number of female prisoners with sentences of more than 1 year per 100,000 female U.S. residents. ",,,,,,,,,
c/Growth in reporting from 1995 to 2003 may be slightly overestimated due to a change in reporting from custody to jurisdiction counts. ,,,,,,,,,
