Bureau of Justice Statistics,,,,
Filename: p03t06 ,,,,
"Text table 6: Percent of prisoners under State or Federal jurisdiction, by race and Hispanic origin",,,,
Report title:  Prisoners in 2003 NCJ 205335,,,,
"Data source:  National Prisoner Statistics, 1B",,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,
Date of version:  11/07/04,,,,

"Text table 6. Percent of prisoners under State or Federal jurisdiction, by race and Hispanic origin",,,,

,Percent of prisoners under State or Federal jurisdiction*,,,
,1995,,2003,
Total,100.0,%,100.0,%
White ,33.5,,35.0,
Black,45.7,,44.1,
Hispanic,17.6,,19.0
Other,3.2,,1.9

*Based on inmates with sentences of more than 1 year. ,,,
