Bureau of Justice Statistics,,,,,,,,
Filename: p09at08.csv,,,,,,,,
"Appendix table 8: Sentenced female prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,
 ,,,,,,,,
"Appendix table 8. Sentenced female prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
,,Number of sentenced female prisoners,,,,,,
Region and jurisdiction,,12/31/2000,12/31/2008,12/31/2009,"Average annual change, 2000-2008",,"Percent change, 2008-2009",
U.S. total,,"85,044","106,358","105,197",2.8,%,-1.1,%
,Federal,"8,397","11,578","11,780",4.1,,1.7,
,State,"76,647","94,780","93,417",2.7,,-1.4,
Northeast,,"7,817","8,315","8,105",0.8,%,-2.5,%
,Connecticut/a,790,803,712,0.2,,-11.3,
,Maine,62,129,135,9.6,,4.7,
,Massachusetts,229,442,425,8.6,,-3.8,
,New Hampshire,120,181,167,5.3,,-7.7,
,New Jersey,"1,650","1,299","1,206",-2.9,,-7.2,
,New York,"3,280","2,547","2,464",-3.1,,-3.3,
,Pennsylvania,"1,578","2,733","2,807",7.1,,2.7,
,Rhode Island/a,64,104,91,6.3,,-12.5,
,Vermont/a,44,77,98,7.2,,27.3,
Midwest,,"14,556","17,688","17,330",2.5,%,-2,%
,Illinois/b,"2,849","2,721","2,590",-0.6,,-4.8,
,Indiana,"1,447","2,493","2,506",7,,0.5,
,"Iowa/b,c",592,749,723,3,,-3.5,
,Kansas/b,504,569,565,1.5,,-0.7,
,Michigan,"2,131","1,957","1,755",-1.1,,-10.3,
,Minnesota,368,670,674,7.8,,0.6,
,Missouri,"1,988","2,446","2,425",2.6,,-0.9,
,Nebraska,256,376,360,4.9,,-4.3,
,North Dakota,54,160,174,14.5,,8.8,
,Ohio/b,"2,808","3,913","3,989",4.2,,1.9,
,South Dakota,200,354,380,7.4,,7.3,
,Wisconsin,"1,359","1,280","1,189",-0.7,,-7.1,
South,,"35,972","45,066","45,036",2.9,%,-0.1,%
,Alabama,"1,790","2,127","2,319",2.2,,9,
,Arkansas,767,"1,054","1,058",4.1,,0.4,
,Delaware/a,245,205,190,-2.2,,-7.3,
,District of Columbia,84,~,~,:,,:,
,Florida,"4,105","7,151","7,283",7.2,,1.8,
,Georgia/c,"2,751","3,691","3,590",3.7,,-2.7,
,Kentucky,"1,061","2,153","2,126",9.2,,-1.3,
,Louisiana,"2,219","2,480","2,616",1.4,,5.5,
,Maryland,"1,061",972,"1,001",-1.1,,3,
,Mississippi,"1,530","1,843","1,614",2.4,,-12.4,
,North Carolina,"1,389","2,011","2,097",4.7,,4.3,
,Oklahoma,"2,394","2,449","2,526",0.3,,3.1,
,South Carolina,"1,301","1,461","1,410",1.5,,-3.5,
,Tennessee,"1,369","2,129","2,009",5.7,,-5.6,
,Texas,"11,634","11,733","11,620",0.1,,-1,
,Virginia,"1,985","2,967","2,903",5.2,,-2.2,
,West Virginia,287,640,674,10.5,,5.3,
West,,"18,302","23,711","22,946",3.3,%,-3.2,%
,Alaska/a,97,262,192,13.2,,-26.7,
,Arizona/c,"1,789","3,314","3,441",8,,3.8,
,California,"10,597","11,363","10,735",0.9,,-5.5,
,Colorado/b,"1,333","2,294","2,101",7,,-8.4,
,Hawaii/a,378,475,441,2.9,,-7.2,
,Idaho,493,758,744,5.5,,-1.8,
,Montana,306,359,391,2,,8.9,
,Nevada,846,982,949,1.9,,-3.4,
,New Mexico,344,568,652,6.5,,14.8,
,Oregon/b,594,"1,105","1,121",8.1,,1.4,
,Utah,361,619,578,7,,-6.6,
,Washington,"1,008","1,404","1,387",4.2,%,-1.2,%
,Wyoming,156,208,214,3.7,,2.9,
Note: Totals based on prisoners with a sentence of more than 1 year.,,,,,,,,
"~Not applicable. As of December 31, 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,
:Not calculated.,,,,,,,,
a/Prisons and jails form one integrated system.  Data include total jail and prison populations. ,,,,,,,,
b/Includes some prisoners sentenced to 1 year or less. ,,,,,,,,
c/Prison population based on custody counts.  ,,,,,,,,
