Bureau of Justice Statistics,,,,,,
Filename: p09at20.csv,,,,,,
"Appendix table 20: Number of state and federal prisoners in private facilities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
"Date of version: December 21, 2010",,,,,,
 ,,,,,,
"Appendix table 20. Number of state and federal prisoners in private facilities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,
,,Number of prisoners in private facilities,,,,
Region and jurisdiction,,12/31/2000,12/31/2008,12/31/2009,"Percent of all prisoners, 12/31/2009",
U.S. total,,"87,369","129,482","129,336",8,%
,Federal/a,"15,524","33,162","34,087",16.4,
,State,"71,845","96,320","95,249",6.8,
Northeast,,"2,509","5,113","5,423",3.1,%
,Connecticut,0,927,885,4.5,
,Maine,11,0,0,0,
,Massachusetts,0,0,0,0,
,New Hampshire,0,0,0,0,
,New Jersey/b,"2,498","2,641","2,950",11.6,
,New York,0,0,0,0,
,Pennsylvania,0,819,920,1.8,
,Rhode Island,0,0,0,0,
,Vermont,0,726,668,30.1,
Midwest,,"7,836","5,448","4,895",1.9,%
,Illinois,0,0,0,0,
,Indiana,991,"2,642","2,479",8.6,
,Iowa,0,0,0,0,
,Kansas,0,0,0,0,
,Michigan,449,0,0,0,
,Minnesota,0,612,191,1.9,
,Missouri,0,0,0,0,
,Nebraska,0,0,0,0,
,North Dakota,96,0,0,0,
,Ohio,"1,918","2,133","2,195",4.3,
,South Dakota,45,15,13,0.4,
,Wisconsin,"4,337",46,17,0.1,
South,,"45,560","57,888","58,737",9,%
,Alabama,0,101,883,2.8,
,Arkansas,"1,540",0,0,0,
,Delaware,0,0,0,0,
,District of Columbia,"2,342",~,~,:,
,Florida,"3,912","9,158","9,812",9.4,
,Georgia,"3,746","5,138","5,129",9.6,
,Kentucky,"1,268","2,209","2,491",11.5,
,Louisiana,"3,068","2,928","2,922",7.3,
,Maryland,127,186,104,0.5,
,Mississippi,"3,230","5,497","5,286",24.6,
,North Carolina,330,217,217,0.5,
,Oklahoma,"6,931","5,711","5,989",22.7,
,South Carolina,0,12,14,0.1,
,Tennessee,"3,510","5,155","5,108",18.9,
,Texas,"13,985","20,041","19,207",11.2,
,Virginia,"1,571","1,535","1,575",4.1,
,West Virginia,0,0,0,0,
West,,"15,940","27,871","26,194",8.3,%
,Alaska,"1,383","1,450","1,626",30.8,
,Arizona,"1,430","8,369","8,971",22.1,
,California,"4,547","3,019","2,316",1.4,
,Colorado,/,"5,274","4,957",21.7,
,Hawaii,"1,187","2,108","1,648",28,
,Idaho,"1,162","2,114","2,066",27.9,
,Montana,986,"1,312","1,434",39.8,
,Nevada,508,0,0,0,
,New Mexico,"2,155","2,935","2,825",43.3,
,Oregon,0,0,0,0,
,Utah,208,0,0,0,
,Washington/b,0,863,124,0.7,%
,Wyoming,275,427,227,10.9,
"~Not applicable. As of December 31, 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,
:Not calculated.,,,,,,
/Not reported.,,,,,,
"a/Includes federal prisoners held in non-secure, privately operated facilities (8,769 at midyear 2009; numbers from other years can be found in earlier publications).",,,,,,
b/Includes prisoners held in out-of-state private facilities.,,,,,,
