Bureau of Justice Statistics,,,,,,,,
Filename: p09at06.csv,,,,,,,,
"Appendix table 6: Sentenced male prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,
 ,,,,,,,,
"Appendix table 6. Sentenced male prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
,,Number of sentenced male prisoners,,,,,,
Region and jurisdiction,,12/31/2000,12/31/2008,12/31/2009,"Average annual change, 2000-2008",,"Percent change, 2008-2009",
U.S. total,,"1,246,234","1,441,384","1,443,524",1.8,%,0.1,%
,Federal,"116,647","170,755","176,106",4.9,,3.1,
,State,"1,129,587","1,270,629","1,267,418",1.5,,-0.3,
Northeast,,"158,815","159,908","159,239",0.1,%,-0.4,%
,Connecticut/a,"12,365","13,468","12,754",1.1,,-5.3,
,Maine,"1,573","1,856","1,845",2.1,,-0.6,
,Massachusetts,"9,250","9,724","9,645",0.6,,-0.8,
,New Hampshire,"2,137","2,521","2,564",2.1,,1.7,
,New Jersey,"28,134","24,654","24,176",-1.6,,-1.9,
,New York,"66,919","57,412","55,991",-1.9,,-2.5,
,Pennsylvania,"35,266","46,314","48,509",3.5,,4.7,
,Rhode Island/a,"1,902","2,418","2,129",3,,-12,
,Vermont/a,"1,269","1,541","1,626",2.5,,5.5,
Midwest,,"221,902","245,553","241,922",1.3,%,-1.5,%
,Illinois/b,"42,432","42,753","42,571",0.1,,-0.4,
,Indiana,"18,364","25,808","26,282",4.3,,1.8,
,"Iowa/b,c","7,363","8,017","8,090",1.1,,0.9,
,Kansas/b,"7,840","7,970","8,076",0.2,,1.3,
,Michigan,"45,587","46,781","43,723",0.3,,-6.5,
,Minnesota,"5,870","9,240","9,312",5.8,,0.8,
,Missouri,"25,531","27,729","28,129",1,,1.4,
,Nebraska,"3,560","4,048","4,032",1.6,,-0.4,
,North Dakota,940,"1,292","1,312",4.1,,1.5,
,Ohio/b,"43,025","47,773","47,617",1.3,,-0.3,
,South Dakota,"2,413","2,979","3,050",2.7,,2.4,
,Wisconsin,"18,977","21,163","19,728",1.4,,-6.8,
South,,"503,025","578,132","580,085",1.8,%,0.3,%
,Alabama,"24,244","27,567","28,404",1.6,,3,
,Arkansas,"11,084","13,606","14,086",2.6,,3.5,
,Delaware/a,"3,692","3,862","3,781",0.6,,-2.1,
,District of Columbia,"4,924",~,~,:,,:,
,Florida,"67,213","95,237","96,632",4.5,,1.5,
,Georgia/c,"41,390","49,014","48,422",2.1,,-1.2,
,Kentucky,"13,858","18,906","18,546",4,,-1.9,
,Louisiana,"32,988","35,324","37,164",0.9,,5.2,
,Maryland,"21,429","21,777","20,867",0.2,,-4.2,
,Mississippi,"17,709","19,855","19,154",1.4,,-3.5,
,North Carolina,"25,654","32,218","32,766",2.9,,1.7,
,Oklahoma,"20,787","21,761","21,870",0.6,,0.5,
,South Carolina,"19,716","21,995","22,076",1.4,,0.4,
,Tennessee,"20,797","25,099","24,956",2.4,,-0.6,
,Texas,"146,374","151,283","150,566",0.4,,-0.5,
,Virginia,"27,658","35,249","35,156",3.1,,-0.3,
,West Virginia,"3,508","5,379","5,639",5.5,,4.8,
West,,"245,845","287,036","286,172",2,%,-0.3,%
,Alaska/a,"2,031","2,704","2,316",3.6,,-14.3,
,Arizona/c,"23,623","33,874","35,088",4.6,,3.6,
,California,"149,815","161,220","159,396",0.9,,-1.1,
,Colorado/b,"15,500","20,980","20,694",3.9,,-1.4,
,Hawaii/a,"3,175","3,829","3,678",2.4,,-3.9,
,Idaho,"5,042","6,532","6,656",3.3,,1.9,
,Montana,"2,799","3,158","3,214",1.5,,1.8,
,Nevada,"9,217","11,761","11,533",3.1,,-1.9,
,New Mexico,"4,322","5,747","5,739",3.6,,-0.1,
,Oregon/b,"9,959","13,026","13,244",3.4,,1.7,
,Utah,"5,180","5,807","5,941",1.4,,2.3,
,Washington,"13,658","16,522","16,812",2.4,%,1.8,%
,Wyoming,"1,524","1,876","1,861",2.6,,-0.8,
Note: Totals based on prisoners with a sentence of more than 1 year.,,,,,,,,
"~Not applicable. As of December 31, 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,
:Not calculated.,,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations. ,,,,,,,,
b/Includes some prisoners sentenced to 1 year or less. ,,,,,,,,
c/Prison population based on custody counts.  ,,,,,,,,
