Bureau of Justice Statistics,,,,,,,,
Filename: p09at03.csv,,,,,,,,
"Appendix table 3: Female prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,
,,,,,,,,
"Appendix table 3. Female prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
,,Number of female prisoners,,,,,,
Region and jurisdiction,,12/31/2000,12/31/2008,12/31/2009,"Average annual change, 2000-2008",,"Percent change, 2008-2009",
U.S. total,,"93,234","114,649","113,462",2.6,%,-1,%
,Federal,"10,245","13,273","13,625",3.3,,2.7,
,State,"82,989","101,376","99,837",2.5,,-1.5,
Northeast,,"9,082","9,601","9,287",0.7,%,-3.3,%
,Connecticut/a,"1,406","1,502","1,335",0.8,,-11.1,
,Maine,66,156,158,11.4,,1.3,
,Massachusetts,663,751,719,1.6,,-4.3,
,New Hampshire/b,120,181,167,5.3,,-7.7,
,New Jersey,"1,650","1,299","1,206",-2.9,,-7.2,
,New York,"3,280","2,587","2,489",-2.9,,-3.8,
,Pennsylvania,"1,579","2,764","2,828",7.2,,2.3,
,Rhode Island/a,238,243,230,0.3,,-5.3,
,Vermont/a,80,118,155,5,,31.4,
Midwest,,"14,598","17,783","17,454",2.5,%,-1.9,%
,Illinois,"2,849","2,721","2,590",-0.6,,-4.8,
,Indiana,"1,452","2,493","2,506",7,,0.5,
,Iowa,592,749,723,3,,-3.5,
,Kansas,504,569,565,1.5,,-0.7,
,Michigan,"2,131","1,957","1,755",-1.1,,-10.3,
,Minnesota,368,670,674,7.8,,0.6,
,Missouri,"1,993","2,449","2,427",2.6,,-0.9,
,Nebraska,266,390,366,4.9,,-6.2,
,North Dakota,68,160,174,11.3,,8.8,
,Ohio,"2,808","3,913","3,989",4.2,,1.9,
,South Dakota,200,355,380,7.4,,7,
,Wisconsin,"1,367","1,357","1,305",-0.1,,-3.8,
South,,"39,652","49,050","48,878",2.7,%,-0.4,%
,Alabama,"1,826","2,231","2,455",2.5,,10,
,Arkansas,772,"1,060","1,061",4,,0.1,
,Delaware/a,597,557,493,-0.9,,-11.5,
,District of Columbia,356,~,~,:,,:,
,Florida,"4,105","7,151","7,283",7.2,,1.8,
,Georgia/c,"2,758","3,692","3,774",3.7,,2.2,
,Kentucky,"1,061","2,270","2,295",10,,1.1,
,Louisiana,"2,219","2,516","2,616",1.6,,4,
,Maryland,"1,219","1,060","1,049",-1.7,,-1,
,Mississippi,"1,669","1,981","1,735",2.2,,-12.4,
,North Carolina,"1,903","2,778","2,808",4.8,,1.1,
,Oklahoma,"2,394","2,524","2,625",0.7,,4,
,South Carolina,"1,420","1,633","1,517",1.8,,-7.1,
,Tennessee,"1,369","2,129","2,009",5.7,,-5.6,
,Texas,"13,622","13,853","13,570",0.2,,-2,
,Virginia,"2,059","2,967","2,904",4.7,,-2.1,
,West Virginia,303,648,684,10,,5.6,
West,,"19,657","24,942","24,218",3,%,-2.9,%
,Alaska/a,284,503,589,7.4,,17.1,
,Arizona/c,"1,964","3,766","3,777",8.5,,0.3,
,California,"11,161","11,620","10,989",0.5,,-5.4,
,Colorado,"1,333","2,294","2,101",7,,-8.4,
,Hawaii/a,561,728,701,3.3,,-3.7,
,Idaho,493,758,744,5.5,,-1.8,
,Montana,306,361,391,2.1,,8.3,
,Nevada,846,982,949,1.9,,-3.4,
,New Mexico,511,569,660,1.4,,16,
,Oregon,596,"1,109","1,125",8.1,,1.4,
,Utah,381,640,581,6.7,,-9.2,
,Washington,"1,065","1,404","1,397",3.5,%,-0.5,%
,Wyoming,156,208,214,3.7,,2.9,
"~Not applicable. As of December 31, 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,
:Not calculated.,,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,
"b/Jurisdiction counts for yearend 2008 are as of January 2, 2009.",,,,,,,,
c/Prison population based on custody counts.,,,,,,,,
