"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0116.csv",,,,,,,,,
"Table #16:  Number of sentenced prisoners under State or Federal jurisdiction, per 100,000 residents, by gender, race, Hispanic origin, and age, 2001",,,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,
"Date of version:  7/5/02",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Table 16.  Number of sentenced prisoners under State or Federal jurisdiction, per 100,000 residents, by gender, race, Hispanic origin, and age, 2001",,,,,,,,,
,,,,,,,,,
,,"Number of sentenced prisoners per 100,000 residents of each group",,,,,,,
,,"               Males",,,,,"      Females",,
"Age","Total/a","White/b","Black/b","Hispanic",,"Total/a","White/b","Black/b","Hispanic"
,,,,,,,,,
"Total",896,462,3535,1177,,58,36,199,61
"18-19",838,321,2858,1092,,31,25,83,23
"20-24",2199,941,7901,2627,,91,61,225,105
"25-29",2624,1173,10028,2946,,164,94,483,150
"30-34",2401,1267,8791,2681,,211,130,682,176
"35-39",1906,1029,7536,2030,,165,102,561,147
"40-44",1286,699,4932,1786,,88,51,320,88
"45-54",685,422,2652,1032,,42,27,136,61
"55 or older",149,110,512,250,,6,5,18,7
,,,,,,,,,
,,,,,,,,,
"Note:  Based on estimates of the U.S. resident population on July 1, 2000 and adjusted for the 1990 Census undercount.",,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, and other Pacific Islanders.",,,,,,,,,
"b/Excludes Hispanics.",,,,,,,,,
