"Bureau of Justice Statistics",,,,,,,,,,,,,
"Filename:  p01010.csv",,,,,,,,,,,,,
"Table #10:  Reported Federal and State prison capacities, yearend 2001",,,,,,,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,,
"Date of version:  7/5/02",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 10.  Reported Federal and State prison capacities, yearend 2001",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,"Custody population as percent of--",,,,,,,,
,"      Type of capacity measure",,,,,,,,,,,,"Custody covered by capacity, 2001"
,,,,,"Highest capacity/a",,"Lowest capacity/a",,,"Highest capacity","Lowest capacity",,
"Region and jurisdiction","Rated    ","Operational","Design          ",,,,,"     ",,,,,
,,,,,,,,,,,,,
"    Federal",100199," ..."," ...",,131,"%",131,"%",,100199,100199,,
,,,,,,,,,,,,,
"  Northeast",,,,,,,,,,1140484,991089,,1150856
"    Connecticut/b"," ..."," ..."," ...",," ...",," ...",,,17507,17507,,17507
"    Maine",1428,1641,1460,,101,"%",117,"%",,1641,1428,,1664
"    Massachusetts"," ..."," ...",8926,,114,,114,,,8926,8926,,10203
"    New Hampshire",2419,2238,2213,,100,,109,,,2419,2213,,2419
"    New Jersey"," ..."," ...",17122,,137,,137,,,17122,17122,,23432
"    New York",61844,64492,54527,,105,,124,,,64492,54527,,67554
"    Pennsylvania",33757,33757,26186,,110,,142,,,33757,26186,,37141
"    Rhode Island",3692,3692,3903,,86,,91,,,3903,3692,,3364
"    Vermont",1311,1361,1220,,103,,115,,,1361,1220,,1400
,,,,,,,,,,,,,
"  Midwest",,,,,,,,,,,,,
"    Illinois",34575,34575,29791,,128,"%",149,"%",,34575,29791,,44348
"    Indiana",15411,20528," ...",,91,,122,,,20528,15411,,18731
"    Iowa",6772,6772,6772,,118,,118,,,6772,6772,,7962
"    Kansas",8816," ..."," ...",,97,,97,,,8816,8816,,8574
"    Michigan"," ...",49324," ...",,98,,98,,,49324,49324,,48400
"    Minnesota",6582,6582,6582,,97,,97,,,6582,6582,,6406
"    Missouri"," ...",29162," ...",,98,,98,,,29162,29162,,28575
"    Nebraska"," ...",3923,3331,,100,,118,,,3923,3331,,3915
"    North Dakota",1005,952,1005,,103,,109,,,1005,952,,1037
"    Ohio",39650," ..."," ...",,113,,113,,,39650,39650,,44868
"    South Dakota"," ...",2713," ...",,102,,102,,,2713,2713,,2764
"    Wisconsin"," ...",13772," ...",,126,,126,,,13772,13772,,17356
,,,,,,,,,,,,,
"  South",,,,,,,,,,,,,
"    Alabama",24248," ...",12406,,102,"%",200,"%",,24248,12406,,24781
"    Arkansas/c",12046,11382,10647,,95,,108,,,12046,10647,,11489
"    Delaware"," ...",4206,3192,,163,,214,,,4206,3192,,6841
