"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0119.csv",,,,,,,,,
"Table #19:  Partitioning by race, Hispanic origin, and offense the growth of the sentenced prison population under State jurisdiction, 1990-2000",,,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,
"Date of version:  7/5/02",,,,,,,,,
,,,,,,,,,
"Table 19.  Partitioning by race, Hispanic origin, and offense the growth of the sentenced prison population under State jurisdiction, 1990-2000",,,,,,,,,
,,,,,,,,,
,"   White prisoners",,,"   Black prisoners",,,"Hispanic prisoners",,
,"Increase 1990-00","Percent of total",,"Increase 1990-00","Percent of total",,"Increase 1990-00","Percent of total",
,,,,,,,,"of total",
"          Total",193300,100,"%",247300,100,"%",63200,100,"%"
,,,,,,,,,
"Violent",94800,49,,127300,52,,43400,69,
,,,,,,,,,
"Property",33400,17,,25900,10,,4200,7,
,,,,,,,,,
"Drug ",28600,15,,65500,27,,4600,7,
,,,,,,,,,
"Public-order ",36900,19,,28300,11,,10700,17,
