"Bureau of Justice Statistics",,,,
"Filename:  p01t05.csv",,,,
"Text Table #5:  Percent of sentenced prisoners under State or Federal jurisdiction, by offense type",,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,
"Data source:  National Prisoner Statistics",,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,
"Contact:  Allen Beck or Paige Harrison",,,,
"Date of version:  7/5/02",,,,
,,,,
"Text Table 5.  Percent of sentenced prisoners under State or Federal jurisdiction, by offense type",,,,
,,,,
,"Percent of sentenced State inmates",,,
,1990,,2000,
"   Total",100,"%",100,"%"
"Vilent",46,,49,
"Property",25,,20,
"Drug",22,,21,
"Public-order",7,,10,
