"Bureau of Justice Statistics",,,,
"Filename:  p0102.csv",,,,
"Table #2:  Change in the State and Federal prison populations, 1995-2001",,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,
"Data source:  National Prisoner Statistics",,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,
"Contact:  Allen Beck or Paige Harrison",,,,
"Date of version:  7/5/02",,,,
,,,,
,,,,
"Table 2.  Change in the State and Federal prison populations, 1995-2001",,,,
,,,,
,"Annual increase in the number of prisoners",,,
,,,,
"Year","Custody","Jurisdiction","Percent change*",
,,,,
"1995",88395,71172,6.7,"%"
"1996",49222,57494,5.1,
"1997",48800,58785,5.0,
"1998",47905,58420,4.7,
"1999",36957,43796,3.4,
"2000",25182,18191,1.3,
"2001",14275,14770,1.1,
,,,,
"Average annual increase, 1995-2001",,,,
,37057,41919,3.8,"%"
,,,,
,,,,
"Note:  In years in which States changed their reporting methods, counts based on comparable methods were used to calculate the annual increase and percent change.  See Methodology for changes by State.",,,,
"*Change in the number of prisoners under State and Federal jurisdiction. ",,,,
