"Bureau of Justice Statistics",,,,,
"Filename:  p0107.csv",,,,,
"Table #7:  Prisoners under the jurisdiction of State or Federal correctional authorities, by gender, yearend 1995, 2000, and 2001",,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,
"Data source:  National Prisoner Statistics",,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,
"Date of version:  7/5/02",,,,,
,,,,,
,,,,,
"Table 7.  Prisoners under the jurisdiction of State or Federal correctional authorities, by gender, yearend 1995, 2000, and 2001",,,,,
,,,,,
,,"Men",,"Women",
"All Inmates",,,,,
"   Advance 2001",,1313000,,93031,
"   Final 2000",,1298027,,93234,
"   Final 1995",,1057406,,68468,
,,,,,
"Percent change, 2000-2001",,,,,
,,1.2,"%",-0.2,"%"
,,,,,
"Average annual 1995-2001",,,,,
,,3.7,,5.2,
,,,,,
"Sentenced to more than 1 year",,,,,
,,,,,
"   Advance 2001",,1259481,,85031,
"   Final 2000",,1246234,,85044,
,,,,,
"Percent change, 2000-2001",,,,,
,,1.1,"%",0.0,"%"
,,,,,
"Incarceration rate*",,,,,
2001,,896,,58,
1995,,792,,47,
,,,,,
"*The number of prisoners with sentences of more than 1 year per 100,000 residents on December 31. ",,,,,
