"Bureau of Justice Statistics",,,,,,,,,,,
"Filename:  p0101.csv",,,,,,,,,,,
"Table #1:  Number of persons held in State or Federal prisons or in local jails, 1990-2001",,,,,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,
"Date of version:  7/5/02",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 1.  Number of persons held in State or Federal prisons or in local jails, 1990-2001",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,"Inmates held in local jails",,,,
,"Total inmates in custody",,"       Prisoners in custody",,,,,,"Incarceration rate/a",,"U.S. resident population"
"Year",,,"Federal",,"State",,"June 30",,,,
"1990",1148702,,58838,,684544,,405320,,458,,743382
"1995",1585586,,89538,,989004,,507044,,601,,1078542
"1996",1646020,,95088,,1032440,,518492,,618,,1127528
"1997",1743643,,101755,,1074809,,567079,,648,,1176564
"1998",1816931,,110793,,1113676,,592462,,669,,1224469
"1999/b",1893115,,125682,,1161490,,605943,,691,,1287172
"2000/c",1931339,,133921,,1176269,,621149,,681,,1310190
"2001/c",1962220,,143337,,1181128,,631240,,686,,1324465
,,,,,,,,,,,
"Percent change, 2000-2001",1.3,"%",7.0,"%",0.4,"%",1.6,"%",,,
,,,,,,,,,,,
,,,,,,,,,,,
"Average annual increase, 1995-2001",3.6,"%",8.2,"%",3.0,"%",3.7,"%",,,
,,,,,,,,,,,
,,,,,,,,,,,
"Note:  Counts include all inmates held in public and private adult correctional facilities.",,,,,,,,,,,
"Jail counts for 1995-2001 exclude persons supervised outside of a jail facility.",,,,,,,,,,,
"a/Number of prison and jail inmates per 100,000 U.S. residents at yearend.  Rates for 2000 have been revised using estimates based on the 2000 Census of Population and Housing. ",,,,,,,,,,,
"b/In 1999, 15 States expanded their reporting criteria to include inmates held in privately operated correctional facilities.  For comparisons with previous years, the State count 1,137,544 and the total count 1,869,169 should be used. ",,,,,,,,,,,
"c/Total counts include Federal inmates in non-secure privately operated facilities (6,515 in 2001 and 6,143 in 2000).",,,,,,,,,,,
