"Bureau of Justice Statistics",,,,
"Filename:  p0205.csv",,,,
"Table 5:  Prisoners under the jurisdiction of State or Federal correctional authorities by gender, yearend 1995, 2001, and 2002",,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,
"Data source:  National Prisoner Statistics-1B",,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,
"Authors:  Paige Harrison and Allen Beck",,,,
"Date of version:  07/27/03",,,,
,,,,
"Table 5.  Prisoners under the jurisdiction of State or Federal correctional authorities by gender, yearend 1995, 2001, and 2002",,,,
,,,,
,,,,
,"Men",,"Women",
"All inmates",,,,
2002,1343164,,97491,
2001,1311053,,92979,
1995,1057406,,68468,
,,,,
"Percent change, 2001-02",,,,
,2.4,"%",4.9,"%"
"Average annual, 1995-2002",,,,
,3.5,,5.2,
,,,,
"Sentenced to more than 1 year",,,,
2002,1291326,,89044,
2001,1260033,,85184,
1995,1021059,,63963,
,,,,
"Percent change, 2001-02",,,,
,2.5,"%",4.5,"%"
,,,,
"Incarceration rate*",,,,
2002,906,,60,
1995,781,,47,
,,,,
"*The number of prisoners with sentences of more than 1 year per 100,000 residents on December 31. ",,,,
