"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0216.csv",,,,,,,,,
"Table 16:  Partitioning by gender and offense, the growth of the sentenced prison population under State jurisdiction, 1995-2001",,,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,,
"Date of version:  07/27/03",,,,,,,,,
,,,,,,,,,
"Table 16:  Partitioning by gender and offense, the growth of the sentenced prison population under State jurisdiction, 1995-2001",,,,,,,,,
,,,,,,,,,
,"All prisoners",,,"Male prisoners",,,"Female prisoners",,
,"Increase, 1995-2001","Percent of total",,"Increase 1995-2001","Percent of total",,"Increase, 1995-2001","Percent of total",
,,,,,,,,,
"Total",207300,100,"%",189300,100,"%",18100,100,"%"
"Violent",130800,63.1,,121300,63.9,,8700,48.6,
"Property",3600,1.7,,-200," -- ",,4000,22.3,
"Drug ",30600,14.8,,28900,15.2,,2300,12.8,
"Public-order ",42400,20.4,,39500,20.8,,2900,16.2,
