Bureau of Justice Statistics,,,,,,
Filename: p06at13,,,,,,
"Appendix table 13: Number of sentenced inmates in Federal prisons, by most serious offense, 2000, 2003, 2006",,,,,,
Report title: Prisoners in 2006 NCJ 219416,,,,,,
"Data source: National Prisoner Statistics, 1B",,,,,,
"Author(s): William J. Sabol, Heather Couture, and Paige M. Harrison",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of version: 12/5/07,,,,,,

"Appendix table 13. Number of sentenced inmates in Federal prisons, by most serious offense, 2000, 2003, 2006",,,,,,
,,Number of sentenced inmates in Federal prisons,,,,
Offense,,2000,2003,2006,"Percent change, 2000-2006",
,Total,"131,739","158,426","176,268",33.8,%
Violent offenses/a,,"13,740","16,688","16,507",20.1,
,Homicide,"1,363","2,632","2,923",114.5,
,Robbery,"9,712","10,398","9,645",-0.7,
,Other violent,"2,665","3,658","3,939",47.8,
Property,,"10,135","11,283","10,015",-1.2,%
,Burglary,462,567,519,12.3,
,Fraud,"7,506","8,241","6,437",-14.2,
,Other property,"2,167","2,475","3,059",41.2,
Drug offenses,,"74,276","86,972","93,751",26.2,%
Public-order offenses,,"32,325","42,325","54,336",68.1,%
,Immigration,"13,676","16,903","19,496",42.6,
,Weapons,"10,822","16,377","24,298",124.5,
,Other,"7,827","9,045","10,542",34.7,
Other/unspecified/b,,"1,263","1,158","1,659",31.4,%
"Note: All data are from the BJS Federal justice database. Data are for September 30 and are based on all senteced inmates, regardless of sentence length.",,,,,,
"a/Includes murder, non-negligent manslaughter, and manslaughter by negligence.",,,,,,
b/Includes offenses not classified.,,,,,,
