"Bureau of Justice Statistics",,,,,,,
"Filename:  p9918.csv",,,,,,,
"Table #:18.  Number of sentenced inmates admitted",,,,,,,
" to State prison, by type of admission, 1980-98",,,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,
"Contact:  Allen Beck",,,,,,,
"Date of version:  8/3/00",,,,,,,
,,,,,,,
"Table 18.  Number of sentenced inmates admitted ",,,,,,,
"to State prison, by type of admission, 1980-98",,,,,,,
,,,,,,,
,,"All",,"New court",,"Parole",
"Year",,"admissions",,"commitments",,"violators",
,,,,,,,
1990,,460739,,323069,,133870,
1991,,466286,,317237,,142100,
1992,,480676,,334301,,141961,
1993,,475100,,318069,,146366,
1994,,497923,,322141,,168383,
1995,,521970,,337492,,175726,
1996,,512618,,326547,,172633,
1997,,538375,,334525,,186659,
1998,,565291,,347270,,206751,
,,,,,,,
"Percent change",,,,,,,
"1990-98",,22.7,"%",7.5,"%",54.4,"%"
,,,,,,,
"Note:  Sentenced inmates are those with a sentence of ",,,,,,,
"more than 1 year.  Admissions exclude returned escapees",,,,,,,
"and AWOL's and transfers from other jurisdictions.   ",,,,,,,
"Admissions for Alaska were estimated for 1994.  Parole ",,,,,,,
"violators for Idaho were estimated for 1998.",,,,,,,
