"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p9913.csv",,,,,,,,,
"Table #:13.  Number of sentenced prisoners under State or Federal jurisdiction, ",,,,,,,,,
"by gender, race Hispanic origin, and age, 1999",,,,,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Contact:  Allen Beck",,,,,,,,,
"Date of version:  8/3/00",,,,,,,,,
,,,,,,,,,
"Table 13.  Number of sentenced prisoners under State or Federal jurisdiction,",,,,,,,,,
"by gender, race, Hispanic origin, and age, 1999",,,,,,,,,
,,,,,,,,,
,,"       Males",,,,,"       Females",,
,"Total/a","White/b","Black/b","Hispanic",,"Total/a","White/b","Black/b","Hispanic"
"Total",1222799,403700,558700,219500,,82594,27100,38300,14100
,,,,,,,,,
"18-19",33200,7700,16000,7600,,1100,500,500,200
"20-24",197900,52100,95900,42300,,7700,2600,3100,1700
"25-29",229500,61900,115900,44100,,14500,4100,6800,2800
"30-34",231300,75600,106600,42400,,20700,6500,10200,3300
"35-39",210300,73200,99300,32000,,18000,6000,8800,2700
"40-44",147300,54000,63000,25700,,10000,3200,5000,1400
"45-54",126700,56100,47900,18500,,8200,3000,3200,1500
"55 or ",,,,,,,,,
"older",41400,22100,11000,6400,,1900,1000,600,200
,,,,,,,,,
"Note: Based on custody counts from National ",,,,,,,,,
"Prisoners Statistics (NPS1-A) and updated from ",,,,,,,,,
"jurisdiction counts by gender at yearend.  Estimates ",,,,,,,,,
"by age derived from the Surveys of Inmates in State ",,,,,,,,,
"and Federal Correctional facilities, 1997.  Estimates",,,,,,,,,
"were rounded to the nearest 100.",,,,,,,,,
"a/Includes American Indians, Alaska ",,,,,,,,,
"Natives, Asians, Native Hawaiians,",,,,,,,,,
"and other Pacific Islanders.",,,,,,,,,
"b/Excludes Hispanics.",,,,,,,,,
