"Bureau of Justice Statistics",,
"Filename:  p01f02.csv",,
"Figure #2: Daily counts of detainees under INS jurisdiction, August 1 to December 31, 2001",,
"Report title:  Prisoners in 2001  NCJ 195189",,
"Data source:  National Prisoner Statistics",,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,
"Contact:  Allen Beck or Paige Harrison",,
"Date of version:  7/5/02",,
,,
"Figure 2.  Daily counts of detainees under INS jurisdiction, August 1 to December 31, 2001",,
,,
"Wed, 1-Aug-01",20217,"Aug. 1"
"Thu, 2-Aug-01",20059,
"Fri, 3-Aug-01",19935,
"Sat, 4-Aug-01",19416,
"Sun, 5-Aug-01",19459,
"Mon, 6-Aug-01",20074,
"Tue, 7-Aug-01",20009,
"Wed, 8-Aug-01",19967,
"Thu, 9-Aug-01",19868,
"Fri, 10-Aug-01",19824,
"Sat, 11-Aug-01",19267,
"Sun, 12-Aug-01",19342,
"Mon, 13-Aug-01",19869,
"Tue, 14-Aug-01",19827,
"Wed, 15-Aug-01",19784,"Aug. 15"
"Thu, 16-Aug-01",19733,
"Fri, 17-Aug-01",19747,
"Sat, 18-Aug-01",19289,
"Sun, 19-Aug-01",19351,
"Mon, 20-Aug-01",19894,
"Tue, 21-Aug-01",19895,
"Wed, 22-Aug-01",19798,
"Thu, 23-Aug-01",19899,
"Fri, 24-Aug-01",19836,
"Sat, 25-Aug-01",19355,
"Sun, 26-Aug-01",19419,
"Mon, 27-Aug-01",20028,
"Tue, 28-Aug-01",20104,
"Wed, 29-Aug-01",19990,
"Thu, 30-Aug-01",19868,
"Fri, 31-Aug-01",19760,
"Sat, 1-Sep-01",19237,"Sept. 1"
"Sun, 2-Sep-01",19384,
"Mon, 3-Sep-01",19552,
"Tue, 4-Sep-01",20242,
"Wed, 5-Sep-01",20195,
"Thu, 6-Sep-01",20179,
"Fri, 7-Sep-01",20108,
"Sat, 8-Sep-01",19605,
"Sun, 9-Sep-01",19699,
"Mon, 10-Sep-01",20227,
"Tue, 11-Sep-01",20166,
"Wed, 12-Sep-01",20354,
"Thu, 13-Sep-01",20489,
"Fri, 14-Sep-01",20458,
"Sat, 15-Sep-01",20069,"Sept. 15"
"Sun, 16-Sep-01",20172,
"Mon, 17-Sep-01",20620,
"Tue, 18-Sep-01",20685,
"Wed, 19-Sep-01",20645,
"Thu, 20-Sep-01",20842,
"Fri, 21-Sep-01",20953,
"Sat, 22-Sep-01",20504,
"Sun, 23-Sep-01",20568,
"Mon, 24-Sep-01",21146,
"Tue, 25-Sep-01",21226,
"Wed, 26-Sep-01",21111,
"Thu, 27-Sep-01",20930,
"Fri, 28-Sep-01",20765,
"Sat, 29-Sep-01",20147,
"Sun, 30-Sep-01",20148,
"Mon, 1-Oct-01",20673,"Oct. 1"
"Tue, 2-Oct-01",20903,
"Wed, 3-Oct-01",20707,
"Thu, 4-Oct-01",20654,
"Fri, 5-Oct-01",20539,
"Sat, 6-Oct-01",20097,
"Sun, 7-Oct-01",20176,
"Mon, 8-Oct-01",20278,
"Tue, 9-Oct-01",20936,
"Wed, 10-Oct-01",20973,
"Thu, 11-Oct-01",20997,
"Fri, 12-Oct-01",20777,
"Sat, 13-Oct-01",20241,
"Sun, 14-Oct-01",20300,
"Mon, 15-Oct-01",20846,"Oct. 15"
"Tue, 16-Oct-01",20918,
"Wed, 17-Oct-01",20811,
"Thu, 18-Oct-01",20640,
"Fri, 19-Oct-01",20590,
"Sat, 20-Oct-01",20129,
"Sun, 21-Oct-01",20195,
"Mon, 22-Oct-01",20655,
"Tue, 23-Oct-01",20731,
"Wed, 24-Oct-01",20682,
"Thu, 25-Oct-01",20558,
"Fri, 26-Oct-01",20549,
"Sat, 27-Oct-01",19894,
"Sun, 28-Oct-01",19949,
"Mon, 29-Oct-01",20504,
"Tue, 30-Oct-01",20498,
"Wed, 31-Oct-01",20223,
"Thu, 1-Nov-01",20186,"Nov. 1"
"Fri, 2-Nov-01",20069,
"Sat, 3-Nov-01",19540,
"Sun, 4-Nov-01",19576,
