"Bureau of Justice Statistics",,,,,,,,,,,,,,,
"Filename:  p0109.csv",,,,,,,,,,,,,,,
"Table #9:  State and Federal prisoners held in private facilities, local jails, or other States' facilities, by jurisdiction, yearend 2001",,,,,,,,,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,,,,
"Date of version:  7/5/02",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 9.  State and Federal prisoners held in private facilities, local jails, or other States' facilities, by jurisdiction, yearend 2001",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,"In other State or Federal facilities",,,,,,
,"       Private facilities",,,,"         Local jails     ",,,,,,,,,,
,,,"Percent of all inmates/a",,,,"Percent of all inmates/a",,,,"Percent of all inmates/a",,,,"Denominator for percent of all inmates. 12/31/01"
"                 ","Number",,,,"Number     ",,,,"Number      ",,,,,,
"      U.S. total",91828,,6.5,"%",70681,,5.0,"%",6111,,0.4,"%",,,1406031
,,,,,,,,,,,,,,,
"    Federal/b",19251,,12.3,,2921,,1.9,,1194,,0.8,,,,156993
"    State",72577,,5.8,,67760,,5.4,,4917,,0.4,,,,1249038
,,,,,,,,,,,,,,,
"  Northeast",3131,,1.8,"%",2593,,1.5,"%",1262,,0.7,"%",,,172614
"    Connecticut",0,,0.0,," -- ",," -- ",,497,,2.6,,,,19196
"    Maine",11,,0.6,,3,,0.2,,50,,2.9,,,,1704
"    Massachusetts",0,,0.0,,420,,4.0,,91,,0.9,,,,10602
"    New Hampshire",0,,0.0,,12,,0.5,,71,,3.0,,,,2392
"    New Jersey/c",2620,,9.3,,2019,,7.2,,71,,0.3,,,,28142
"    New York",0,,0.0,,139,,0.2,,0,,0.0,,,,67534
"    Pennsylvania",500,,1.3,,0,,0.0,,45,,0.1,,,,38062
"    Rhode Island/c",0,,0.0,," -- ",," -- ",,46,,1.4,,,,3241
"    Vermont/c",0,,0.0,," -- ",," -- ",,391,,22.5,,,,1741
,,,,,,,,,,,,,,,
"  Midwest",6920,,2.9,"%",2192,,0.9,"%",875,,0.4,"%",,,240739
"    Illinois",0,,0.0,,0,,0,,31,,0,,,,44348
"    Indiana",915,,4.4,,1320,,6.3,,0,,0.0,,,,20966
"    Iowa",0,,0.0,,0,,0.0,,0,,0.0,,,,7962
"    Kansas",98,,1.1,,0,,0.0,,89,,1.0,,,,8577
"    Michigan",449,,0.9,,237,,0.5,,0,,0.0,,,,48849
"    Minnesota",0,,0.0,,184,,2.8,,144,,2.2,,,,6606
"    Missouri",0,,0.0,,0,,0.0,,247,,0.9,,,,28757
"    Nebraska",0,,0.0,,0,,0.0,,26,,0.7,,,,3937
"    North Dakota",44,,4.0,,21,,1.9,,21,,1.9,,,,1111
"    Ohio",1924,,4.2,,0,,0.0,,35,,0.1,,,,45281
"    South Dakota",35,,1.2,,16,,0.6,,39,,1.4,,,,2812
"    Wisconsin",3455,,16.0,,414,,1.9,,243,,1.1,,,,21533
,,,,,,,,,,,,,,,
"  South",45690,,8.1,"%",57782,,10.3,"%",1143,,0.2,"%",,,562239
"    Alabama",0,,0.0,,601,,2.2,,491,,1.8,,,,26741
"    Arkansas",0,,0.0,,951,,7.8,,38,,0.3,,,,12159
"    Delaware",0,,0.0,," -- ",," -- ",,28,,0.4,,,,7006
"    District of Columbia",986,,35.9,," -- ",," -- ",,4,,0.1,,,,2750
"    Florida",3995,,5.5,,0,,0.0,,0,,0.0,,,,72406
"    Georgia",4561,,9.9,,4682,,10.2,,0,,0.0,,,,45937
"    Kentucky",1028,,6.7,,4706,,30.5,,18,,0.1,,,,15424
"    Louisiana",2928,,8.2,,16050,,44.9,,0,,0.0,,,,35710
"    Maryland",128,,0.5,,140,,0.6,,45,,0.2,,,,23752
"    Mississippi",3634,,16.9,,3736,,17.4,,0,,0.0,,,,21460
"    North Carolina",191,,0.6,,0,,0.0,,0,,0.0,,,,31979
"    Oklahoma",6658,,29.2,,903,,4.0,,70,,0.3,,,,22780
"    South Carolina",6,,0.0,,446,,2.0,,290,,1.3,,,,22576
"    Tennessee",3678,,15.5,,6230,,26.3,,0,,0.0,,,,23671
"    Texas",16331,,10.1,,15158,,9.4,,0,,0.0,,,,162070
"    Virginia",1566,,5.0,,3440,,10.9,,86,,0.3,,,,31603
"    West Virginia",0,,0.0,,739,,17.5,,73,,1.7,,,,4215
,,,,,,,,,,,,,,,
