"Bureau of Justice Statistics",,,,,,,,,,,
"Filename:  p0114.csv",,,,,,,,,,,
"Table #14:  Prisoners in custody of correctional authorities in the U.S. territories, yearend 2000 and 2001",,,,,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,
"Date of version:  7/5/02",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 14.  Prisoners in custody of correctional authorities in the U.S. territories, yearend 2000 and 2001",,,,,,,,,,,
,,,,,,,,,,,
,"                Total",,,,"Sentenced to more than 1 year",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,2001,2000,"Percent change, 2000-01",,2001,2000,"Percent change, 2000-01",,"Incarceration rate, 2001*",,"Population Midyear"
,,,,,,,,,,,
"   Total",15852,16130,-1.7,"%",11910,11916,-0.1,"%",271,,4388281
,,,,,,,,,,,
"Samoa",155,140,10.7,,125,114,9.6,,182,,68688
"Guam",585,684,-14.5,,297,323,-8.0,,185,,160796
"Commonwealth of the Northern Mariana Islands",,,,,,,,,,,
,,,,,,,,,,,
,102,97,5.2,,72,51,41.2,,93,,77311
"PR",14516,14691,-1.2,,10997,11075,-0.7,,278,,3957988
"U.S. Virgin Islands",494,518,-4.6,,419,353,18.7,,339,,123498
,,,,,,,,,,,
"--Not calculated.",,,,,,,,,,,
"*The number of prisoners with a sentence of more than 1 year per 100,000 persons in the resident population.  Midyear population estimates were provided by the U.S. Bureau of the Census, International Data Base. ",,,,,,,,,,,
